task,chars_per_token,api,T_in,T_out,api_usd_per_1k_req,slm_usd_per_1k_req,slm_wins,breakeven_requests_compute_only
classification,billed,gpt-4o,105.8,1.5,0.551,0.1793,True,1657.0
classification,billed,claude-haiku-4-5,112.0,4.6,0.1351,0.1793,False,
classification,billed,gemini-2.5-flash,98.0,1.6,0.0333,0.1793,False,
code_generation,3.0,gpt-4o,200.0,95.5,2.433,2.4384,False,
code_generation,3.0,claude-haiku-4-5,200.0,95.5,0.6777,2.4384,False,
code_generation,3.0,gemini-2.5-flash,200.0,95.5,0.2988,2.4384,False,
code_generation,3.0,gpt-4o,333.3,95.5,3.0997,2.4384,True,72.0
code_generation,3.0,claude-haiku-4-5,333.3,95.5,0.811,2.4384,False,
code_generation,3.0,gemini-2.5-flash,333.3,95.5,0.3388,2.4384,False,
code_generation,3.5,gpt-4o,171.4,81.9,2.0855,2.4384,False,
code_generation,3.5,claude-haiku-4-5,171.4,81.9,0.5809,2.4384,False,
code_generation,3.5,gemini-2.5-flash,171.4,81.9,0.2561,2.4384,False,
code_generation,3.5,gpt-4o,285.7,81.9,2.6569,2.4384,True,219.0
code_generation,3.5,claude-haiku-4-5,285.7,81.9,0.6952,2.4384,False,
code_generation,3.5,gemini-2.5-flash,285.7,81.9,0.2904,2.4384,False,
